accuracy,loss,val_accuracy,val_loss
0.7706093192100525,0.6125767827033997,0.3404761850833893,1.4956490993499756
0.8381122946739197,0.43777281045913696,0.7714285850524902,0.6668668985366821
0.862604558467865,0.3830071687698364,0.8345237970352173,0.4406795799732208
0.872461199760437,0.3551858961582184,0.8392857313156128,0.43126997351646423
0.8820191025733948,0.32772529125213623,0.6678571701049805,0.8112002611160278
0.8808243870735168,0.3170677125453949,0.6761904954910278,0.7457090616226196
0.8966547250747681,0.28984078764915466,0.788095235824585,0.5190243124961853
0.9005376100540161,0.2729654014110565,0.863095223903656,0.308115690946579
0.9023297429084778,0.2686344385147095,0.9142857193946838,0.24458959698677063
0.9106929302215576,0.25287336111068726,0.886904776096344,0.34832432866096497
